帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
2,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
3,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
4,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
5,0.020833333333333332,0.0,-0.5,-0.0016903313049357674,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.352484787018255,7.36482797707458
6,0.025,0.0,-0.5,-0.0016903313049357674,0.0,97.36308316430016,0.0,7.352484787018255,7.352484787018255
7,0.029166666666666667,-0.5,-1.0,-0.0033806626098715348,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.354969574036511,7.367312764092837
8,0.03333333333333333,0.0,-0.5,-0.0016903313049357674,0.4056795131845843,194.7261663286005,0.012343190056326097,7.352484787018255,7.36482797707458
9,0.0375,-2.0,-0.5,-0.0016903313049357674,0.0,-97.36308316430025,0.0,7.352484787018255,7.352484787018255
10,0.041666666666666664,-1.0,-0.5,-0.0016903313049357674,0.0,0.0,0.0,7.352484787018255,7.352484787018255
11,0.04583333333333333,-1.0,-1.5,-0.005070993914807302,-0.8113590263691686,-194.7261663286005,0.04937276022530439,7.357454361054766,7.40682712128007
12,0.05,0.0,-0.5,-0.0016903313049357674,0.8113590263691671,389.45233265720003,0.049372760225304214,7.352484787018255,7.401857547243559
13,0.05416666666666667,-1.0,-0.5,-0.0016903313049357674,0.0,-194.72616632860016,0.0,7.352484787018255,7.352484787018255
14,0.058333333333333334,-1.0,-1.5,-0.005070993914807302,-0.8113590263691686,-194.7261663286005,0.04937276022530439,7.357454361054766,7.40682712128007
15,0.0625,-1.0,-1.5,-0.005070993914807302,0.0,194.7261663286005,0.0,7.357454361054766,7.357454361054766
16,0.06666666666666667,-1.0,-0.5,-0.0016903313049357674,0.8113590263691686,194.7261663286005,0.04937276022530439,7.352484787018255,7.401857547243559
17,0.07083333333333333,-1.0,-1.5,-0.005070993914807302,-0.8113590263691686,-389.452332657201,0.04937276022530439,7.357454361054766,7.40682712128007
18,0.075,-1.0,-1.5,-0.005070993914807302,0.0,194.7261663286005,0.0,7.357454361054766,7.357454361054766
19,0.07916666666666666,0.0,-1.5,-0.005070993914807302,0.0,0.0,0.0,7.357454361054766,7.357454361054766
20,0.08333333333333333,-1.0,-1.5,-0.005070993914807302,0.0,0.0,0.0,7.357454361054766,7.357454361054766
21,0.0875,0.0,-0.5,-0.0016903313049357674,0.8113590263691686,194.7261663286005,0.04937276022530439,7.352484787018255,7.401857547243559
22,0.09166666666666666,-1.0,-1.5,-0.005070993914807302,-0.8113590263691686,-389.452332657201,0.04937276022530439,7.357454361054766,7.40682712128007
23,0.09583333333333334,-1.0,-1.5,-0.005070993914807302,0.0,194.72616632859985,0.0,7.357454361054766,7.357454361054766
24,0.1,0.0,-0.5,-0.0016903313049357674,0.8113590263691686,194.7261663286005,0.04937276022530439,7.352484787018255,7.401857547243559
25,0.10416666666666667,-1.0,-0.5,-0.0016903313049357674,0.0,-194.7261663286005,0.0,7.352484787018255,7.352484787018255
26,0.10833333333333334,-1.5,-1.0,-0.0033806626098715348,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.354969574036511,7.367312764092837
27,0.1125,-1.5,0.0,0.0,0.8113590263691686,292.08924949290076,0.04937276022530439,7.35,7.399372760225304
28,0.11666666666666667,-0.5,-0.5,-0.0016903313049357674,-0.4056795131845843,-292.08924949290076,0.012343190056326097,7.352484787018255,7.36482797707458
29,0.12083333333333333,-1.5,-1.0,-0.0033806626098715348,-0.4056795131845843,0.0,0.012343190056326097,7.354969574036511,7.367312764092837
30,0.125,-1.5,0.0,0.0,0.8113590263691686,292.08924949290076,0.04937276022530439,7.35,7.399372760225304
31,0.12916666666666668,-1.5,0.0,0.0,0.0,-194.72616632859985,0.0,7.35,7.35
32,0.13333333333333333,-1.0,1.5,0.005070993914807302,1.2170385395537568,292.0892494929027,0.1110887105069356,7.342545638945233,7.453634349452169
33,0.1375,-1.0,1.5,0.005070993914807302,0.0,-292.08924949290076,0.0,7.342545638945233,7.342545638945233
34,0.14166666666666666,-2.0,1.5,0.005070993914807302,0.0,0.0,0.0,7.342545638945233,7.342545638945233
35,0.14583333333333334,-2.0,1.5,0.005070993914807302,0.0,0.0,0.0,7.342545638945233,7.342545638945233
36,0.15,-1.0,2.5,0.008451656524678837,0.8113590263691712,194.72616632860178,0.049372760225304714,7.337576064908721,7.386948825134026
37,0.15416666666666667,-1.0,3.5,0.011832319134550372,0.8113590263691658,-1.30562227695918e-12,0.04937276022530405,7.3326064908722115,7.3819792510975155
38,0.15833333333333333,-1.0,3.5,0.011832319134550372,0.0,-194.72616632860047,0.0,7.3326064908722115,7.3326064908722115
