帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
50,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
51,0.2125,0.0,2.0,0.0067613252197430695,1.6227180527383425,389.45233265720356,0.19749104090121886,7.340060851926978,7.537551892828197
52,0.21666666666666667,0.0,5.0,0.016903313049357674,2.4340770791074973,194.72616632859655,0.4443548420277364,7.325152129817443,7.769506971845179
53,0.22083333333333333,0.0,7.0,0.023664638269100743,1.6227180527383425,-194.72616632859786,0.19749104090121886,7.315212981744422,7.51270402264564
54,0.225,1.0,10.0,0.03380662609871535,2.4340770791074973,194.72616632859655,0.4443548420277364,7.300304259634888,7.7446591016626245
55,0.22916666666666666,0.0,11.0,0.03718728870858688,0.8113590263691712,-389.45233265719963,0.049372760225304714,7.295334685598377,7.344707445823682
56,0.23333333333333334,0.0,13.0,0.04394861392832995,1.6227180527383316,194.72616632859788,0.1974910409012162,7.285395537525355,7.482886578426571
57,0.2375,0.0,15.0,0.05070993914807302,1.6227180527383425,2.6112445539183775e-12,0.19749104090121886,7.275456389452332,7.472947430353551
58,0.24166666666666667,1.0,17.0,0.05747126436781609,1.6227180527383316,-2.61124455391836e-12,0.1974910409012162,7.26551724137931,7.463008282280526
59,0.24583333333333332,0.0,20.0,0.0676132521974307,2.4340770791075137,194.7261663286044,0.4443548420277424,7.250608519269777,7.6949633612975195
60,0.25,0.0,23.0,0.0777552400270453,2.4340770791074973,-3.943512183468544e-12,0.4443548420277364,7.235699797160244,7.68005463918798
61,0.25416666666666665,1.0,24.0,0.08113590263691683,0.8113590263691712,-389.45233265719963,0.049372760225304714,7.230730223123732,7.280102983349037
62,0.25833333333333336,1.0,28.0,0.09465855307640297,3.245436105476642,584.1784989857872,0.7899641636048544,7.210851926977687,8.000816090582543
63,0.2625,1.0,31.0,0.10480054090601758,2.4340770791075137,-194.72616632859146,0.4443548420277424,7.195943204868154,7.6402980468958965
64,0.26666666666666666,1.0,33.0,0.11156186612576065,1.6227180527383425,-194.72616632860178,0.19749104090121886,7.186004056795132,7.3834950976963505
65,0.2708333333333333,0.0,34.0,0.11494252873563218,0.8113590263691712,-194.72616632860178,0.049372760225304714,7.18103448275862,7.230407242983925
66,0.275,1.0,38.0,0.12846517917511832,3.245436105476642,584.1784989857872,0.7899641636048544,7.161156186612575,7.95112035021743
67,0.2791666666666667,0.0,40.0,0.1352265043948614,1.6227180527383425,-389.4523326571932,0.19749104090121886,7.151217038539554,7.348708079440772
68,0.2833333333333333,0.0,43.0,0.14536849222447598,2.43407707910751,194.72616632860093,0.4443548420277411,7.1363083164300205,7.580663158457762
69,0.2875,-1.0,47.0,0.15889114266396212,3.245436105476685,194.72616632860263,0.7899641636048754,7.116430020283976,7.906394183888851
70,0.2916666666666667,1.0,49.0,0.1656524678837052,1.622718052738321,-389.45233265720356,0.1974910409012136,7.106490872210954,7.3039819131121675
71,0.29583333333333334,-1.0,52.0,0.1757944557133198,2.434077079107517,194.7261663286077,0.44435484202774356,7.091582150101419,7.535936992129162
72,0.3,0.0,53.0,0.17917511832319133,0.8113590263691679,-389.45233265720515,0.049372760225304305,7.086612576064909,7.135985336290213
73,0.30416666666666664,0.0,60.0,0.2028397565922921,5.679513184584202,1168.3569979716124,2.419265251039934,7.051825557809331,9.471090808849265
74,0.30833333333333335,0.0,61.0,0.2062204192021636,0.8113590263691571,-1168.3569979715994,0.04937276022530299,7.0468559837728195,7.096228743998123
75,0.3125,1.0,65.0,0.21974306964164975,3.245436105476685,584.1784989858088,0.7899641636048754,7.026977687626775,7.81694185123165
76,0.31666666666666665,0.0,68.0,0.22988505747126436,2.434077079107517,-194.72616632860104,0.44435484202774356,7.012068965517241,7.456423807544984
77,0.32083333333333336,1.0,71.0,0.24002704530087896,2.4340770791074777,-9.37916411203323e-12,0.44435484202772924,6.997160243407707,7.441515085435436
78,0.325,-1.0,74.0,0.25016903313049355,2.43407707910751,7.780442956573125e-12,0.4443548420277411,6.982251521298174,7.426606363325916
79,0.32916666666666666,0.0,78.0,0.2636916835699797,3.245436105476685,194.72616632860263,0.7899641636048754,6.962373225152129,7.752337388757005
80,0.3333333333333333,0.0,79.0,0.26707234617985126,0.8113590263691812,-584.178498985803,0.04937276022530593,6.957403651115618,7.006776411340923
81,0.3375,0.0,81.0,0.2738336713995943,1.6227180527383143,194.72616632859004,0.19749104090121197,6.947464503042596,7.144955543943808
82,0.3416666666666667,0.0,84.0,0.2839756592292089,2.434077079107517,194.7261663286093,0.44435484202774356,6.932555780933063,7.376910622960806
83,0.3458333333333333,-1.0,87.0,0.29411764705882354,2.434077079107517,0.0,0.44435484202774356,6.91764705882353,7.362001900851273
84,0.35,-1.0,91.0,0.3076402974983097,3.245436105476685,194.72616632860104,0.7899641636048754,6.897768762677485,7.687732926282361
85,0.3541666666666667,-1.0,95.0,0.3211629479377958,3.245436105476642,-1.0338396805309356e-11,0.7899641636048544,6.87789046653144,7.667854630136294
86,0.35833333333333334,-1.0,99.0,0.33468559837728196,3.245436105476685,1.0338396805309495e-11,0.7899641636048754,6.858012170385395,7.647976333990271
87,0.3625,-1.0,100.0,0.3380662609871535,0.8113590263691679,-584.1784989858062,0.049372760225304305,6.853042596348884,6.902415356574188
88,0.36666666666666664,0.0,106.0,0.35835023664638266,4.86815415821502,973.630831643008,1.7774193681109645,6.823225152129818,8.600644520240783
89,0.37083333333333335,-1.0,109.0,0.3684922244759973,2.4340770791074844,-584.1784989858029,0.44435484202773173,6.808316430020283,7.252671272048015
90,0.375,-1.0,113.0,0.3820148749154834,3.245436105476685,194.72616632860883,0.7899641636048754,6.78843813387424,7.578402297479116
91,0.37916666666666665,-1.0,117.0,0.39553752535496955,3.245436105476685,0.0,0.7899641636048754,6.768559837728195,7.558524001333071
92,0.38333333333333336,0.0,121.0,0.4090601757944557,3.245436105476642,-1.0338396805309356e-11,0.7899641636048544,6.74868154158215,7.538645705187005
93,0.3875,1.0,124.0,0.4192021636240703,2.434077079107517,-194.7261663285907,0.44435484202774356,6.733772819472617,7.17812766150036
94,0.39166666666666666,-1.0,128.0,0.43272481406355645,3.245436105476685,194.72616632860104,0.7899641636048754,6.713894523326572,7.503858686931448
95,0.3958333333333333,0.0,131.0,0.44286680189317107,2.434077079107517,-194.72616632860104,0.44435484202774356,6.698985801217039,7.143340643244782
96,0.4,-1.0,137.0,0.46315077755240025,4.8681541582149555,584.1784989857796,1.777419368110917,6.669168356997972,8.446587725108888
97,0.4041666666666667,-1.0,141.0,0.4766734279918864,3.245436105476685,-389.45233265718633,0.7899641636048754,6.649290060851927,7.4392542244568025
98,0.4083333333333333,0.0,144.0,0.486815415821501,2.434077079107517,-194.72616632860104,0.44435484202774356,6.6343813387423936,7.078736180770137
