帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
7,0.029166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
8,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
9,0.0375,-1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
10,0.041666666666666664,0.0,1.0,0.0033806626098715348,0.8113590263691686,194.7261663286005,0.04937276022530439,7.345030425963488,7.394403186188792
11,0.04583333333333333,-1.0,0.0,0.0,-0.8113590263691686,-389.452332657201,0.04937276022530439,7.35,7.399372760225304
12,0.05,0.0,1.0,0.0033806626098715348,0.8113590263691671,389.45233265720003,0.049372760225304214,7.345030425963488,7.394403186188792
13,0.05416666666666667,-1.0,0.0,0.0,-0.8113590263691686,-389.45233265720066,0.04937276022530439,7.35,7.399372760225304
14,0.058333333333333334,-1.0,0.0,0.0,0.0,194.7261663286005,0.0,7.35,7.35
15,0.0625,-1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
16,0.06666666666666667,-0.5,-0.5,-0.0016903313049357674,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.352484787018255,7.36482797707458
17,0.07083333333333333,-1.0,-1.0,-0.0033806626098715348,-0.4056795131845843,0.0,0.012343190056326097,7.354969574036511,7.367312764092837
18,0.075,0.0,-2.0,-0.0067613252197430695,-0.8113590263691686,-97.36308316430025,0.04937276022530439,7.359939148073022,7.409311908298326
19,0.07916666666666666,-1.0,1.0,0.0033806626098715348,2.4340770791075057,778.904665314402,0.4443548420277395,7.345030425963488,7.789385267991228
20,0.08333333333333333,0.0,1.0,0.0033806626098715348,0.0,-584.1784989858015,0.0,7.345030425963488,7.345030425963488
21,0.0875,-1.0,3.0,0.010141987829614604,1.6227180527383371,389.452332657201,0.19749104090121755,7.335091277890466,7.532582318791684
22,0.09166666666666666,-3.0,4.0,0.013522650439486139,0.8113590263691686,-194.7261663286005,0.04937276022530439,7.330121703853955,7.379494464079259
23,0.09583333333333334,-2.0,6.0,0.02028397565922921,1.6227180527383316,194.7261663285985,0.1974910409012162,7.320182555780933,7.517673596682149
24,0.1,-2.0,7.0,0.023664638269100743,0.8113590263691686,-194.72616632859916,0.04937276022530439,7.315212981744422,7.364585741969726
25,0.10416666666666667,-1.0,6.0,0.02028397565922921,-0.8113590263691686,-389.452332657201,0.04937276022530439,7.320182555780933,7.369555316006237
26,0.10833333333333334,-1.0,5.0,0.016903313049357674,-0.8113590263691686,0.0,0.04937276022530439,7.325152129817443,7.374524890042747
27,0.1125,-3.0,7.0,0.023664638269100743,1.6227180527383371,584.1784989858015,0.19749104090121755,7.315212981744422,7.512704022645639
28,0.11666666666666667,-3.0,7.0,0.023664638269100743,0.0,-389.452332657201,0.0,7.315212981744422,7.315212981744422
29,0.12083333333333333,-3.0,8.0,0.027045300878972278,0.8113590263691686,194.7261663286005,0.04937276022530439,7.31024340770791,7.359616167933214
30,0.125,-3.0,8.0,0.027045300878972278,0.0,-194.7261663286005,0.0,7.31024340770791,7.31024340770791
31,0.12916666666666668,-1.0,12.0,0.04056795131845842,3.245436105476663,778.9046653143968,0.7899641636048648,7.290365111561867,8.080329275166731
32,0.13333333333333333,-1.0,14.0,0.04732927653820149,1.6227180527383425,-389.4523326571983,0.19749104090121886,7.2804259634888435,7.477917004390062
33,0.1375,-3.0,14.0,0.04732927653820149,0.0,-389.452332657201,0.0,7.2804259634888435,7.2804259634888435
34,0.14166666666666666,-4.0,16.0,0.054090601757944556,1.6227180527383425,389.45233265720356,0.19749104090121886,7.270486815415822,7.467977856317041
35,0.14583333333333334,-3.0,16.0,0.054090601757944556,0.0,-389.452332657201,0.0,7.270486815415822,7.270486815415822
36,0.15,-3.0,16.0,0.054090601757944556,0.0,0.0,0.0,7.270486815415822,7.270486815415822
37,0.15416666666666667,-3.0,19.0,0.06423258958755916,2.4340770791074973,584.1784989857975,0.4443548420277364,7.255578093306289,7.699932935334025
38,0.15833333333333333,-3.0,19.0,0.06423258958755916,0.0,-584.1784989858014,0.0,7.255578093306289,7.255578093306289
39,0.1625,-3.0,22.0,0.07437457741717377,2.4340770791074973,584.1784989857975,0.4443548420277364,7.240669371196755,7.685024213224491
40,0.16666666666666666,-2.0,24.0,0.08113590263691683,1.6227180527383425,-194.72616632859786,0.19749104090121886,7.230730223123732,7.428221264024951
41,0.17083333333333334,-2.0,25.0,0.08451656524678837,0.8113590263691658,-194.7261663286018,0.04937276022530405,7.225760649087221,7.275133409312525
42,0.175,-3.0,26.0,0.0878972278566599,0.8113590263691712,1.3056222769591887e-12,0.049372760225304714,7.22079107505071,7.270163835276015
43,0.17916666666666667,-2.0,28.0,0.09465855307640297,1.6227180527383316,194.72616632859788,0.1974910409012162,7.210851926977687,7.4083429678789035
44,0.18333333333333332,-3.0,31.0,0.10480054090601758,2.4340770791075137,194.7261663286044,0.4443548420277424,7.195943204868154,7.6402980468958965
45,0.1875,-3.0,31.0,0.10480054090601758,0.0,-584.1784989858015,0.0,7.195943204868154,7.195943204868154
46,0.19166666666666668,-2.0,34.0,0.11494252873563218,2.4340770791074973,584.1784989857975,0.4443548420277364,7.18103448275862,7.625389324786356
47,0.19583333333333333,-3.0,35.0,0.11832319134550372,0.8113590263691712,-389.45233265719963,0.049372760225304714,7.176064908722109,7.225437668947414
48,0.2,-3.0,37.0,0.12508451656524677,1.6227180527383283,194.7261663285971,0.1974910409012154,7.166125760649087,7.363616801550302
49,0.20416666666666666,-4.0,39.0,0.13184584178498984,1.6227180527383425,3.410605131648493e-12,0.19749104090121886,7.156186612576065,7.353677653477284
50,0.20833333333333334,-3.0,41.0,0.1386071670047329,1.6227180527383316,-2.61124455391836e-12,0.1974910409012162,7.146247464503042,7.343738505404258
51,0.2125,-3.0,44.0,0.14874915483434753,2.434077079107517,194.72616632860513,0.44435484202774356,7.131338742393509,7.575693584421252
52,0.21666666666666667,-2.0,46.0,0.1555104800540906,1.6227180527383316,-194.72616632860385,0.1974910409012162,7.121399594320487,7.318890635221703
53,0.22083333333333333,-4.0,47.0,0.15889114266396212,0.8113590263691679,-194.7261663286,0.049372760225304305,7.116430020283976,7.16580278050928
54,0.225,-3.0,49.0,0.1656524678837052,1.6227180527383316,194.72616632859868,0.1974910409012162,7.106490872210954,7.30398191311217
55,0.22916666666666666,-4.0,52.0,0.1757944557133198,2.434077079107517,194.72616632860513,0.44435484202774356,7.091582150101419,7.535936992129162
56,0.23333333333333334,-4.0,54.0,0.18255578093306288,1.6227180527383316,-194.72616632860385,0.1974910409012162,7.081643002028398,7.279134042929614
57,0.2375,-4.0,56.0,0.18931710615280595,1.6227180527383425,2.6112445539183775e-12,0.19749104090121886,7.071703853955376,7.269194894856595
58,0.24166666666666667,-4.0,58.0,0.19607843137254902,1.6227180527383316,-2.61124455391836e-12,0.1974910409012162,7.061764705882353,7.259255746783569
59,0.24583333333333332,-5.0,61.0,0.2062204192021636,2.43407707910751,194.72616632860354,0.4443548420277411,7.0468559837728195,7.491210825800561
60,0.25,-4.0,63.0,0.21298174442190668,1.6227180527383316,-194.72616632860226,0.1974910409012162,7.036916835699797,7.234407876601013
61,0.25416666666666665,-5.0,66.0,0.2231237322515213,2.434077079107517,194.72616632860513,0.44435484202774356,7.022008113590264,7.466362955618007
62,0.25833333333333336,-4.0,69.0,0.23326572008113589,2.4340770791074777,-9.37916411203323e-12,0.44435484202772924,7.007099391480731,7.45145423350846
63,0.2625,-5.0,71.0,0.24002704530087896,1.6227180527383425,-194.72616632859317,0.19749104090121886,6.997160243407707,7.194651284308926
64,0.26666666666666666,-5.0,74.0,0.25016903313049355,2.43407707910751,194.72616632860093,0.4443548420277411,6.982251521298174,7.426606363325916
65,0.2708333333333333,-5.0,76.0,0.25693035835023664,1.6227180527383491,-194.72616632859933,0.19749104090122047,6.972312373225153,7.169803414126373
66,0.275,-5.0,79.0,0.26707234617985126,2.4340770791074844,194.72616632859055,0.44435484202773173,6.957403651115618,7.401758493143349
67,0.2791666666666667,-5.0,82.0,0.2772143340094658,2.4340770791075035,4.583000645652662e-12,0.4443548420277386,6.9424949290060844,7.386849771033823
68,0.2833333333333333,-5.0,84.0,0.2839756592292089,1.6227180527383491,-194.72616632859774,0.19749104090122047,6.932555780933063,7.130046821834283
69,0.2875,-5.0,88.0,0.29749830966869506,3.245436105476685,389.45233265720196,0.7899641636048754,6.912677484787018,7.702641648391894
70,0.2916666666666667,-6.0,90.0,0.3042596348884381,1.6227180527383143,-389.45233265720515,0.19749104090121197,6.9027383367139965,7.100229377615208
71,0.29583333333333334,-5.0,93.0,0.3144016227180527,2.434077079107517,194.7261663286093,0.44435484202774356,6.887829614604463,7.3321844566322065
72,0.3,-6.0,96.0,0.32454361054766734,2.434077079107517,0.0,0.44435484202774356,6.872920892494928,7.3172757345226715
