帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.0,0.0,0.0,-0.01413576134728791,0.08621393286105214,-5.4271624462174595,0.0005574631664527505,7.370779569180513,7.371337032346966
2,0.004166666666666667,0.0,0.0,-0.013776536627033526,0.07490734443143243,-5.4271624462174595,0.0004208332687326938,7.370251508841739,7.370672342110471
3,0.008333333333333333,0.0,0.0,-0.013511533477025973,0.05302976765486751,-5.074074406533702,0.00021091171931469246,7.369861954211228,7.370072865930542
4,0.0125,0.0,0.0,-0.013334621896576297,0.03295576873903583,-4.5614450730655065,8.145620198856085e-05,7.369601894187967,7.3696833503899555
5,0.016666666666666666,0.0,0.0,-0.013236902070867342,0.015267215466458206,-3.9290604977717525,1.748159010744455e-05,7.369458246044174,7.369475727634281
6,0.020833333333333332,0.0,0.0,-0.013207395101022479,0.0003707287190089781,-3.221253141003877,1.0307983732352836e-08,7.3694148707985025,7.369414881106486
7,0.025,0.0,0.0,-0.0132338126648756,-0.011515750720421242,-2.4842569899226286,9.945938599116176e-06,7.369453704617367,7.369463650555966
8,0.029166666666666667,0.0,0.0,-0.013303359690359323,-0.020365256245265112,-1.7635056620024292,3.110577464514822e-05,7.369555938744828,7.369587044519473
9,0.03333333333333333,0.0,0.0,-0.013403523133586143,-0.02633303845880952,-1.1010298004988872,5.2007168585485604e-05,7.369703179006371,7.369755186174957
10,0.0375,0.0,0.0,-0.013522801677516069,-0.029737482233674478,-0.5331032114362921,6.632383871985788e-05,7.369878518465948,7.369944842304668
11,0.041666666666666664,0.0,0.0,-0.01365133548553343,-0.03103201325549476,-0.08827167903744382,7.222393850169018e-05,7.370067463163734,7.3701396871022355
12,0.04583333333333333,0.0,0.0,-0.013781401787978525,-0.030769819101298806,0.21412487305150218,7.100863256449896e-05,7.370258660628328,7.370329669260892
13,0.05,0.0,0.0,-0.01390775064471092,-0.02956360919566081,0.36485588165473537,6.555052415053203e-05,7.370444393447725,7.370509943971876
14,0.05416666666666667,0.0,0.0,-0.014027765197942365,-0.028042903902244717,0.36508265918498983,5.89803344452899e-05,7.370620814840975,7.37067979517542
15,0.058333333333333334,0.0,0.0,-0.01414144151056296,-0.02681146026639221,0.22601028602421414,5.3914080121224616e-05,7.370787919020527,7.370841833100648
16,0.0625,0.0,0.0,-0.014251194033495633,-0.026407403975490587,-0.03206326639143553,5.23013238543567e-05,7.370949255229238,7.371001556553092
17,0.06666666666666667,0.0,0.0,-0.014361503210358714,-0.02726844655070268,-0.3812371697103689,5.5767613296639666e-05,7.3711114097192265,7.371167177332524
18,0.07083333333333333,0.0,0.0,-0.014478431088084822,-0.029704235272832794,-0.7879414169120857,6.617561948578528e-05,7.371283293699484,7.37134946931897
19,0.075,0.0,0.0,-0.014609038504298988,-0.03387743092413263,-1.2151924957118365,8.607602445145333e-05,7.371475286601319,7.37156136262577
20,0.07916666666666666,0.0,0.0,-0.014760743012452594,-0.03979456240080316,-1.6250306130900172,0.00011877053975035623,7.371698292228305,7.371817062768056
21,0.08333333333333333,0.0,0.0,-0.014940659857639014,-0.04730710059347665,-1.9809877193932568,0.00016784713249209888,7.371962769990729,7.372130617123221
22,0.0875,0.0,0.0,-0.015154968850731566,-0.05612256335563191,-2.2504344064412707,0.00023623065882051884,7.372277804210575,7.372514034869395
23,0.09166666666666666,0.0,0.0,-0.015408347885602613,-0.06582484714910089,-2.4066618144238383,0.00032496828766518716,7.372650271391835,7.3729752396795005
24,0.09583333333333333,0.0,0.0,-0.01570350924364074,-0.07590241659958828,-2.43057152181011,0.00043208826342430907,7.373084158588152,7.373516246851576
25,0.1,0.0,0.0,-0.016040868023932515,-0.08578250522825376,-2.3118710199493187,0.0005518978652426538,7.37358007599518,7.374131973860423
26,0.10416666666666667,0.0,0.0,-0.01641836345387619,-0.09486911843037363,-2.049703317068219,0.0006750112223817193,7.374134994277197,7.374810005499579
27,0.10833333333333334,0.0,0.0,-0.016831444010852296,-0.10258240576563785,-1.652674603858606,0.0007892362479499477,7.374742222695953,7.375531458943903
28,0.1125,0.0,0.0,-0.017273216835256504,-0.10839689782427525,-1.1382815842873484,0.0008812415593444777,7.375391628747827,7.376272870307171
29,0.11666666666666667,0.0,0.0,-0.017734751492721256,-0.11187618801729221,-0.5317777083607922,0.0009387211083960388,7.3760700846943,7.377008805802696
30,0.12083333333333333,0.0,0.0,-0.018205518402067272,-0.11270187656562097,0.13544720516298625,0.0009526284736059349,7.376762112051039,7.377714740524645
31,0.125,0.0,0.0,-0.018673933797434764,-0.11069496818008506,0.8278688198942508,0.0009190031985292532,7.377450682682229,7.378369685880758
32,0.12916666666666665,0.0,0.0,-0.019127976470234648,-0.1058284031703681,1.5080823847698932,0.0008399738188192482,7.378118125411245,7.378958099230064
33,0.13333333333333333,0.0,0.0,-0.01955583715718783,-0.0982299733785505,2.1391639153025555,0.0007236845752463054,7.378747080621066,7.379470765196312
34,0.1375,0.0,0.0,-0.01994655958172257,-0.08817549325840973,2.6869865423650108,0.0005831188208522894,7.379321442585132,7.379904561405985
